accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	7	8	9	10	grp	pos
PI_615125	Mexico	Huitzayota	Cucurbita pepo	Single fruit sample.	NA	Landrace	South/Latin America	1.4e-5	0.835349	1e-5	0.018955	1e-5	0.082124	1e-5	0.016643	1e-5	0.046874	6	112
PI_615126	Mexico	P 5399	Cucurbita pepo	Collection of 3 fruits from lady; she selects next year's seed from largest fruits (did not want to sell largest).	NA	Uncertain improvement status	South/Latin America	1e-5	0.850316	1e-5	1e-5	1e-5	0.147054	1e-5	0.00256	1e-5	1e-5	6	104
PI_615127	Mexico	Tzolito	Cucurbita pepo	Series of 7 fruits taken from farm; small, multi-colored, a typical pepo; sown in March, harvested June.	NA	Landrace	South/Latin America	1e-5	0.736111	0.032836	1e-5	1e-5	0.230983	1e-5	1e-5	1e-5	1e-5	6	163
PI_615128	Mexico	Tzul	Cucurbita pepo	Two fruits, large, green-mottled; sown in March, harevested June/July; use flesh with sugar.	NA	Landrace	South/Latin America	1e-5	0.778526	1e-5	1e-5	1e-5	0.221394	1e-5	1e-5	1e-5	1e-5	6	166
PI_532354	Mexico	Calabacilla loca	Cucurbita pepo subsp. fraterna	Fruits 5, obloid to spheroid, 4.5-6.5cm in diameter, 2 still green with lighter green stripes and flecking, fading to orange. Rind smooth, moderately soft, 1 mm thick. Flesh extremely bitter. Seeds 7-9mm long, 4-6mm wide.	NA	Wild material	South/Latin America	1e-5	1e-5	0.296896	1e-5	1e-5	0.703024	1e-5	1e-5	1e-5	1e-5	10	1
PI_532355	Mexico	179	Cucurbita pepo subsp. fraterna	Fruits 8, obloid to spheroid, from green with lighter green stripes and flecking to almost completely bright orange with stripes 3.5-4.5cm diameter. Flesh extremely bitter. Rind smooth and moderately soft, 1 mm thick.	NA	Wild material	South/Latin America	1e-5	1e-5	0.338325	1e-5	1e-5	0.661595	1e-5	1e-5	1e-5	1e-5	10	3
PI_532356	Mexico	180	Cucurbita pepo subsp. fraterna	Fruit found 1 km E of PI 532355, single fruit larger with thicker rind, obovoid, faded yellow, 7cm long, 6cm wide. Rind 2mm thick.	NA	Wild material	South/Latin America	1e-5	1e-5	0.329662	1e-5	1e-5	0.670258	1e-5	1e-5	1e-5	1e-5	10	2
PI_532385	Mexico	Calabaza	Cucurbita pepo	Ellipsoid, obloid, to oblong, ribbed, finely green reticulated 7.5 to 19.5 cm long, 11.5-20 cm wide.  Rind usually hard.  Flesh orange.	NA	Landrace	South/Latin America	0.083058	0.706262	0.008541	0.126657	1e-5	1e-5	1e-5	1e-5	1e-5	0.075431	6	152
PI_511973	Mexico	Imai (Tepehuan)	Cucurbita pepo	Sown in June, harvested October/November.	NA	Landrace	South/Latin America	1e-5	0.99991	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	84
PI_511974	Mexico	Imai (Tepehuan)	Cucurbita pepo	Sown June, harvested September/October. Eat flowers, grind seeds for sauces, eat mature flesh cooked with raw sugar and milk.	NA	Landrace	South/Latin America	1e-5	0.961364	1e-5	0.038556	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	95
PI_612864	Mexico	20-5	Cucurbita pepo	Oblong, ribbed, dark green, 15.5 cm long, 15 cm wide, flesh orange.	NA	Cultivated material	South/Latin America	0.030576	0.685249	0.00212	0.137743	1e-5	0.024209	1e-5	0.013867	1e-5	0.106206	6	151
PI_612865	Mexico	20-6	Cucurbita pepo	Oblong, no ribs, dark green with lighter green speckles, 18.5 cm long, 14 cm wide, flesh thick pale orange.	NA	Cultivated material	South/Latin America	1e-5	0.830748	1e-5	0.062669	1e-5	1e-5	0.007372	1e-5	0.016403	0.082758	6	119
PI_612866	Mexico	20-7	Cucurbita pepo	Ellipsoid, very slightly ribbed, dark green with lighter green stripes along ribs and flecked between ribs, 18 cm long, 11.5 cm wide, very pale orange flesh.	NA	Cultivated material	South/Latin America	0.044413	0.745735	1e-5	0.114752	1e-5	1e-5	2.25e-4	0.038009	0.024996	0.031839	6	153
PI_612867	Mexico	20-8	Cucurbita pepo	Oblong, ribbed, uniformly finely green reticulated, 19.5 cm long, 13.5 cm wide, pale orange flesh.	NA	Cultivated material	South/Latin America	0.088866	0.690307	1e-5	0.133236	1e-5	0.003433	0.002728	0.078886	1e-5	0.002513	6	150
PI_614683	Mexico	HDW 5531	Cucurbita pepo subsp. fraterna	All fruits green and white striped maturing to orange; bitter.	NA	Wild material	South/Latin America	1e-5	1e-5	0.097696	1e-5	1e-5	0.902224	1e-5	1e-5	1e-5	1e-5	10	4
PI_318830	Mexico	Calabasa	Cucurbita pepo	Used as summer squash when young and tender. Resembles zucchini.	NA	Landrace	South/Latin America	1e-5	0.889043	5.93e-4	0.023562	0.008768	1e-5	0.007437	1e-5	0.070556	1e-5	6	131
PI_511983	Mexico	Calabaza de la Sierra	Cucurbita pepo	Sown in May/June, harvested in October/November. Use cooked flesh in baked sweets, toast or grind seeds.	NA	Landrace	South/Latin America	1e-5	0.99991	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	86
PI_511967	Mexico	Calabaza	Cucurbita pepo	Fruit green, roundish, blocky with distinct ridges. Sown June, harvested September. Cook mature flesh, toast or grind seeds to eat.	NA	Landrace	South/Latin America	0.03589	0.944785	1e-5	0.019255	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	89
PI_511968	Mexico	Calabaza	Cucurbita pepo	Sown June, harvested September/October. Cook mature flesh, grind or toast seeds.	NA	Landrace	South/Latin America	1e-5	0.971105	1e-5	0.028815	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	93
Ames_7770	Mexico	Calabasa de Agua y Arrota	Cucurbita pepo	NA	NA	Cultivated material	South/Latin America	1e-5	0.038589	0.018431	0.057604	1e-5	0.024591	0.024124	0.050618	1e-5	0.786012	1	582
PI_615131	Mexico	Tzol	Cucurbita pepo	Sample taken from seed set aside to plant in 1985; old seed, but a mass sample.	NA	Landrace	South/Latin America	1e-5	0.768196	0.012502	1e-5	1e-5	0.219232	1e-5	1e-5	1e-5	1e-5	6	167
PI_512192	Mexico	Calabaza	Cucurbita pepo	Two fruits round shape, without typical (C. pepo) angular peduncle and lack of ridges on fruit.	NA	Cultivated material	South/Latin America	1e-5	0.904862	0.001925	0.073075	1e-5	1e-5	1e-5	0.020078	1e-5	1e-5	6	140
