accession_id	removed	country	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region	1	2	3	4	5	6	grp	pos
PI_137880		Iran	No. 5642	Cucurbita maxima	NA	NA	NA	Asia	0.583241	0.171911	0.0367	0.132535	0.075602	1E-05	2	385
PI_211992		Iran	No. 4	Cucurbita maxima	NA	NA	NA	Asia	0.215626	0.391956	0.096191	0.296207	1E-05	1E-05	5	111
PI_141633		Iran	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.349608	0.300638	0.018892	0.330841	1E-05	1E-05	5	121
PI_137862		Iran	Russian Kadu	Cucurbita maxima	NA	NA	Fruit 15 by 8 inches; rind orange red to paler, splotched with green, pinkish-white incomplete rib lines and heavily indented ribs; flesh orange, 2 inches thick, tender and insipid.	Asia	0.291317	0.191274	0.154968	0.174649	0.073532	0.11426	5	129
PI_143280		Iran	No. 7643	Cucurbita maxima	NA	NA	Fruit globose, 14 inches long, with deep irregular ribs, salmon, mottled paler; flesh 2 to 4 inches thick, pale orange, insipid.	Asia	0.270961	0.389547	0.110892	0.228581	1E-05	1E-05	5	112
PI_141637		Iran	Kaduetambal	Cucurbita maxima	NA	NA	NA	Asia	0.718429	0.262464	1E-05	1E-05	0.019077	1E-05	2	374
PI_143274		Iran	No. 7488	Cucurbita maxima	NA	NA	Fruit 18 inches long and 9 inches in diameter, orange red, with faint irregular ridb; flesh 1.25 inches thick, deep yellow, good quality.	Asia	0.356588	0.515808	0.005385	0.105176	1E-05	0.017033	5	187
PI_141661		Iran	Kadu	Cucurbita maxima	NA	NA	NA	Asia	0.421258	0.54365	1E-05	0.035063	1E-05	1E-05	5	189
PI_143278		Iran	No. 7595	Cucurbita maxima	NA	NA	Fruit subelliptical, 11 inches long, red; rind 2 inches thick, orange, insipid.	Asia	0.267642	0.381338	1E-05	0.35099	1E-05	1E-05	5	118
PI_211991		Iran	No. 3	Cucurbita maxima	NA	NA	NA	Asia	0.434622	0.343981	0.051985	0.148658	1E-05	0.020743	5	174
PI_226463		Iran	No. 14780	Cucurbita maxima	NA	NA	NA	Asia	0.585433	0.354091	0.005301	1.4E-05	0.055151	1E-05	5	170
PI_265558		Iran	Formerly PI 212010	Cucurbita maxima	NA	NA	NA	Asia	0.576126	0.423834	1E-05	1E-05	1E-05	1E-05	5	169
PI_143272		Iran	No. 7402	Cucurbita maxima	NA	NA	Fruit flattened, 11 inches long and 7 inches in diameter, deeply ribbed, orange red; flesh 5 inches thick, greenish yellow, firm, low in sugar.	Asia	0.142903	0.572576	0.044538	1E-05	1E-05	0.239962	5	184
PI_265561		Iran	Formerly PI 223353	Cucurbita maxima	NA	NA	NA	Asia	0.214868	0.644577	0.025085	0.102222	1E-05	0.013238	5	185
PI_137860		Iran	Kadu	Cucurbita maxima	NA	NA	Adapted to cotton country.	Asia	0.389352	0.346353	0.018696	0.103057	0.016072	0.12647	5	175
PI_211990		Iran	No. 2	Cucurbita maxima	NA	NA	NA	Asia	0.634492	0.225883	0.000596	1E-05	1E-05	0.139009	2	368
PI_211989		Iran	No. 1	Cucurbita maxima	NA	NA	NA	Asia	0.417902	0.163009	0.024644	0.147364	1E-05	0.24707	5	146
PI_137861		Iran	No. 5613	Cucurbita maxima	NA	NA	Said to be globose. Gorwn where summers are hot.	Asia	0.633704	0.298111	1E-05	1E-05	0.068155	1E-05	2	377
PI_137859		Iran	Kadu	Cucurbita maxima	NA	NA	Fruit elongate, 9 by 15 inches, rind gray green and unribbed; flesh yellow, 2 inches thich, and insipid.	Asia	0.612453	0.150606	0.001785	0.170257	0.00414	0.060759	2	381
