accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	grp	pos
PI_438737	Mexico	HW 0179	Cucurbita moschata	Fruit large, ovoid, ribbed, light tan, mottled dark green. Rind very hard.  Seeds many, plump.	NA	NA	South/Latin America	1e-5	0.007629	1e-5	1e-5	1e-5	0.992331	1	254
PI_438767	Mexico	HW 0179	Cucurbita moschata	Fruit bluntly obovate, shallow ribs, deep tan, 15cm long.	NA	NA	South/Latin America	1e-5	0.117183	0.026734	1e-5	1e-5	0.856054	1	238
PI_442262	Mexico	NA	Cucurbita moschata	Fruits tan, large, oblong, slightly bell-shaped, 40cm long, 26cm diam. Rind 2mm  thick. Flesh deep orange. Local name Calabaza de Castilla.	NA	NA	South/Latin America	0.048173	0.082003	0.11277	0.715111	0.026332	0.015612	3	180
PI_438722	Mexico	NA	Cucurbita moschata	Obtained from F. Cardenas R. Fruit pear shaped, 1.8kg. Seeds white with dark border.	NA	NA	South/Latin America	1e-5	0.066892	0.030664	0.815516	0.046861	0.040057	3	157
PI_438788	Mexico	HW 0179	Cucurbita moschata	Obtained by Juan Santo.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	0.99995	1e-5	1e-5	3	142
PI_438723	Mexico	HW 0179	Cucurbita moschata	Fruit flat, many lobed, dull yellow. Eaten when young. Locally called Kanasin.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99995	1	265
PI_438791	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.449268	1e-5	0.507071	1e-5	0.043631	2	195
PI_438725	Mexico	HW 0179	Cucurbita moschata	Obtained from Moises Gomez. Fruit ovoid, slightly ribbed, buff. Locally called  Tockun.	NA	NA	South/Latin America	1e-5	0.049645	0.013864	1e-5	1e-5	0.936461	1	269
PI_172344	Mexico	PEPITO	Cucurbita moschata	Seeds are roasted, shelled, and eaten	NA	NA	South/Latin America	0.20878	0.27471	0.099622	0.146668	0.082002	0.188217	6	29
PI_438732	Mexico	HW 0179	Cucurbita moschata	Fruit extremely flat, deeply lobed, dark buff, reticulated dark green. Flesh  thin, dark orange.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99995	1	267
PI_438733	Mexico	HW 0179	Cucurbita moschata	Fruit small, flat, ribbed, dark brown. Rind thin. Flesh medium thick, dark  orange.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	1e-5	1e-5	0.99995	1	266
PI_438735	Mexico	HW 0179	Cucurbita moschata	Fruit oblate-flattened, ribbed, buff. Rind hard. Many seeded.	NA	NA	South/Latin America	1e-5	0.023014	1e-5	1e-5	1e-5	0.976946	1	273
PI_438736	Mexico	HW 0179	Cucurbita moschata	Fruit spherical, ribbed, light tan. Rind very hard.	NA	NA	South/Latin America	1e-5	1e-5	1e-5	0.009796	1e-5	0.990164	1	253
PI_574552	Mexico	xmehen k'uum = early squash	Cucurbita moschata	Fruit dark green-skinned, with dark orange flesh, patty pan shaped. Seeds small, white with brown margins	NA	Landrace	South/Latin America	1e-5	1e-5	0.023306	1e-5	1e-5	0.976654	1	248
PI_442264	Mexico	NA	Cucurbita moschata	Fruits tan, pyriform, 25cm long, 22cm diam. Rind 0.5mm thick. Placenta deep orange. Flesh lemon yellow. Local name Calabaza de Castilla.	NA	NA	South/Latin America	1e-5	0.066186	0.1362	0.797585	1e-5	1e-5	3	155
