country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Spain	PI_512813	V-CU-14	Cucurbita pepo	Sown May, harvested August. Used for consumption.	NA	Landrace	Europe
Spain	PI_512753	AS-CU-5	Cucurbita pepo	Sown February, harvested September. Used for black pudding and livestock feed.	NA	Landrace	Europe
Spain	PI_512834	V-CU-50	Cucurbita pepo	Sown May, harvested July-August. Self-consumption.	NA	Cultivar	Europe
Spain	PI_537513	CA-CU-56	Cucurbita pepo	Fruits rounded and elongated. Received as Cucurbita sp.	NA	Landrace	Europe
Spain	PI_537505	Bubango	Cucurbita pepo	Sown March-April. Fruits white, two. Received as Cucurbita sp.	NA	Landrace	Europe
Spain	PI_537508	Bubango	Cucurbita pepo	Fruits yellow. Received as Cucurbita sp.	NA	Landrace	Europe
Spain	PI_512881	V-CU-117	Cucurbita pepo	Sown May, harvested October. Used for hay.	NA	Landrace	Europe
Spain	PI_537532	Calabaza	Cucurbita pepo	Used in cooking. Fruits elongated, yellow. Received as Cucurbita sp.	NA	Landrace	Europe
Spain	PI_512749	AS-CU-1	Cucurbita pepo	Sown February, harvested September-October. Used for cooking and making black pudding.	NA	Landrace	Europe
Spain	PI_512840	V-CU-57	Cucurbita pepo	Sown April, harvested August-September. Fruit almost round. Skin has green and yellow stripes. Used for decorations.	NA	Landrace	Europe
Spain	PI_512773	C-CU-19	Cucurbita pepo	Sown March, harvested June-July. Self-consumption.	NA	Cultivar	Europe
Spain	PI_537519	CA-CU-62	Cucurbita pepo	Received as Cucurbita sp.	NA	Uncertain improvement status	Europe
Spain	PI_615137	Calabacin	Cucurbita pepo	Sown May, harvested September. Fruits elongated, white. Used as food.	NA	Landrace	Europe
Spain	PI_512837	V-CU-54	Cucurbita pepo	Sown March, harvested September. Used for stew.	NA	Landrace	Europe
Spain	Ames_24951	C-CU-27	Cucurbita pepo	"NA"	NA	Cultivated material	Europe
Spain	PI_537514	Bubango	Cucurbita pepo	Fruits of two types. Received as Cucurbita sp.	NA	Landrace	Europe
Syria	PI_534626	OA 10396	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534572	OA 341	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534620	OA 10301	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534623	OA 10310	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534641	OD 10561	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534624	OA 10315	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534622	OA 10305	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534630	OD 10430	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534633	OD 10462	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534638	OD 10515	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534621	OA 10304	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534640	OD 10542	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534636	OD 10488	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534563	OA 20	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534562	OA 17	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534628	OD 10428	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534561	OA 11	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534567	OA 84	Cucurbita pepo	"NA"	NA	Landrace	Arab States
Syria	PI_534632	OD 10460	Cucurbita pepo	"NA"	NA	Landrace	Arab States
