country	accession_id	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region
Argentina	PI_162670	No. 181	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458672	TW 1080	Cucurbita maxima	NA	NA	Probably imported from Misiones.  Fruit flattish, smooth surface, orange, medium vein tracts, light color, producing stripes.  Flesh lemon, thin.  Seed cavity large. Local name Zapallo.	South/Latin America
Argentina	PI_458703	TWW-76	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds Banana type, large, golden brown, margins  lighter.	South/Latin America
Argentina	PI_458673	No Known Plant ID	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Fruit solid white. Local name Tabalque.	South/Latin America
Argentina	PI_162669	No. 182	Cucurbita maxima	NA	NA	NA	South/Latin America
Argentina	PI_458685	TWW-55	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds large, white, margins white. Local name Anton.	South/Latin America
Argentina	PI_458653	TW 1080	Cucurbita maxima	NA	NA	Donated by E. M. Zardini.	South/Latin America
Argentina	PI_458700	TWW-70	Cucurbita maxima	NA	NA	Seeds large, dirty white, margins present. Local name Capana-Ingles.	South/Latin America
Argentina	PI_414676	Zapinski	Cucurbita maxima	NA	NA	Bush type plant. Prolific in fruiting.	South/Latin America
Uruguay	G_24402	Zapallo Rotando	Cucurbita maxima	NA	NA	NA	South/Latin America
Peru	PI_470933	No. 2	Cucurbita maxima	NA	NA	Leaves wide. Spreading habit. Fruits up to 50 kg. Local name Zapallo grande.	South/Latin America
Peru	G_25854	P-8587	Cucurbita maxima	Cultivar	NA	NA	South/Latin America
Peru	G_25853	P-8579	Cucurbita maxima	Cultivar	NA	NA	South/Latin America
Brazil	PI_244702	Moranga	Cucurbita maxima	NA	NA	Fruits flattened; orange.	South/Latin America
Brazil	G_28472	'Varzea Alegre'	Cucurbita maxima	Cultivar	NA	NA	South/Latin America
Brazil	PI_244704	Ovo de Ganzo 619 Moganga	Cucurbita maxima	NA	NA	Fruits the size of small 'Table Queen'; buff. Quality good.	South/Latin America
Burundi	G_30649	GMN 152	Cucurbita maxima	NA	NA	NA	Africa
Burundi	G_32322	GMN 7	Cucurbita maxima	NA	NA	NA	Africa
Burundi	G_32319	GMN 138	Cucurbita maxima	NA	NA	NA	Africa
Burundi	G_30655	GMN 279	Cucurbita maxima	NA	NA	NA	Africa
Burundi	G_32321	GMN 80	Cucurbita maxima	NA	NA	NA	Africa
Greece	G_32379	G044	Cucurbita maxima	NA	NA	NA	Europe
India	PI_175124	Kadu	Cucurbita maxima	NA	NA	NA	Asia
