country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Mexico	PI_438770	HW 0179	Cucurbita moschata	Fruit short club shaped, ribbed, neck 11.5cm diam., 15cm long, body 23cm diam.,  13cm long.	NA	"NA"	South/Latin America
Mexico	PI_438743	HW 0179	Cucurbita moschata	Fruit large, curved, club-shaped, ribbed, pale tan, 15cm diam., 45cm long. Rind  hard. Flesh thin, dark orange.	NA	"NA"	South/Latin America
Mexico	PI_438772	HW 0179	Cucurbita moschata	Fruit globose, smooth, striped and reticulated dark green, 20cm long.	NA	"NA"	South/Latin America
Mexico	PI_438773	HW 0179	Cucurbita moschata	Fruit flattened globose, deeply ribbed, buff, 20cm diam.	NA	"NA"	South/Latin America
Mexico	PI_438775	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438776	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438777	HW 0179	Cucurbita moschata	Seeds large.	NA	"NA"	South/Latin America
Mexico	PI_438778	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438779	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_438756	HW 0179	Cucurbita moschata	Fruit oblate, deeply lobed, warty, 25cm diam.	NA	"NA"	South/Latin America
Mexico	PI_442280	NA	Cucurbita moschata	Fruits tan, dark green mottling, slight bloom, Canadian Crookneck shape, 31cm long, 13cm diam.	NA	"NA"	South/Latin America
Mexico	PI_442283	NA	Cucurbita moschata	Fruits tan, dark green mottling, tan mottling at maturity, turban-shaped, 15.8  long, 20cm diam. Local name Calabaza criolla.	NA	"NA"	South/Latin America
Mexico	PI_442284	NA	Cucurbita moschata	Fruits dark tan, ovate, 20cm long, 18.4cm diam. Local name Calabaza criolla.	NA	"NA"	South/Latin America
Mexico	PI_438785	HW 0179	Cucurbita moschata	Fruit elliptical, slightly ribbed, orange marked green, 28cm diam., 46cm long.	NA	"NA"	South/Latin America
Mexico	PI_442249	NA	Cucurbita moschata	Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_438787	HW 0179	Cucurbita moschata	Fruit depressed globose, ribbed. Rind soft, mottled green and tan, 33cm diam.,  20cm long.	NA	"NA"	South/Latin America
Mexico	PI_442288	NA	Cucurbita moschata	Fruits tan, dark green and tan mottled, turban-shaped, 15cm long, 22.7cm diam.  Placenta brown. Flesh greenish. Local name Calabaza criolla.	NA	"NA"	South/Latin America
Mexico	PI_442272	NA	Cucurbita moschata	Fruits light green, tan mottling, turban-shaped, 23cm long, 22cm diam. Local  name Calabaza camotuda.	NA	"NA"	South/Latin America
Mexico	PI_634696	Castillo	Cucurbita moschata	"NA"	NA	Cultivated material	South/Latin America
Mexico	PI_442274	NA	Cucurbita moschata	Fruits tan, flattened-round, warty, 14cm long, 19cm diam. Primitive type.	NA	"NA"	South/Latin America
Mexico	PI_442275	NA	Cucurbita moschata	Fruits mottled green and tan, heavy bloom, top-shaped, 21cm long, 15cm diam.	NA	"NA"	South/Latin America
Mexico	PI_442277	NA	Cucurbita moschata	Fruits tan, turban-shaped, 12cm long, 19cm diam. Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_442257	NA	Cucurbita moschata	Fruits dark green, splotchy yellow at maturity, slight bloom, surface slightly  lumpy, pear-shaped, 23cm long, 24cm diam. Local name Calabaza.	NA	"NA"	South/Latin America
Mexico	PI_438758	HW 0179	Cucurbita moschata	Fruit obovate, faintly ribbed, nearly white, 15cm diam., 25cm long.	NA	"NA"	South/Latin America
